dataset_id,region,climatezone,status_250_km,status_500_km,total_adjusted_r_squared_250_km,total_adjusted_r_squared_500_km,human_250_km,human_500_km,climate_250_km,climate_500_km,time_250_km,time_500_km,signed_difference_250_km,signed_difference_500_km,signed_balance_250_km,signed_balance_500_km,zero_balance_250_km,zero_balance_500_km,unique_adjusted_r2_pure_human_250_km,unique_adjusted_r2_pure_human_500_km,unique_adjusted_r2_pure_climate_250_km,unique_adjusted_r2_pure_climate_500_km,unique_adjusted_r2_pure_time_250_km,unique_adjusted_r2_pure_time_500_km,zero_ranking_250_km,zero_ranking_500_km,signed_ranking_250_km,signed_ranking_500_km,total_adjusted_r_squared_delta_500_minus_250,human_delta_500_minus_250,climate_delta_500_minus_250,time_delta_500_minus_250,signed_difference_delta_500_minus_250,signed_balance_delta_500_minus_250,zero_balance_delta_500_minus_250,unique_adjusted_r2_pure_human_delta_500_minus_250,unique_adjusted_r2_pure_climate_delta_500_minus_250,unique_adjusted_r2_pure_time_delta_500_minus_250,profile_250_km_present,profile_500_km_present,estimable_250_km,estimable_500_km,matched_estimable,status_changed,zero_ranking_reversal,signed_ranking_reversal,ranking_reversal,robustness_classification,material_change
25372,Europe,Temperate_Without_dry_season,estimated,estimated,0.622,0.613,0.0446,0.029,0.2247,0.2339,0.3526,0.3499,-0.1801,-0.2049,-0.28954983922829586,-0.334257748776509,-0.668770887486075,-0.7793837961201977,0.01525119975457889,0.0061201247823458,0.08333889419240359,0.07935343295642827,0.15535442296541857,0.1272887626111977,climate,climate,climate,climate,-0.009000000000000008,-0.0156,0.009199999999999986,-0.0027000000000000357,-0.02479999999999999,-0.04470790954821313,-0.11061290863412265,-0.00913107497223309,-0.003985461235975318,-0.028065660354220867,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
2642,North America,Cold_Dry_Summer,insufficient_residual_df,insufficient_residual_df,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_estimable_at_either_radius,FALSE
46544,Europe,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.567,0.558,0.0509,0.0793,0.3311,0.311,0.1846,0.1681,-0.2802,-0.2317,-0.4941798941798942,-0.41523297491039424,-0.7335078534031414,-0.5936459133999489,0.1194757511932133,0.11128794247802264,0.32353642316686915,0.3290420000475778,0.1685929806336508,0.1811665289537976,climate,climate,climate,climate,-0.008999999999999897,0.028399999999999995,-0.020100000000000007,-0.016499999999999987,0.048500000000000015,0.07894691926949998,0.13986194000319252,-0.008187808715190661,0.005505576880708629,0.012573548320146788,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
982,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.543,0.55,0.0508,0.1159,0.2073,0.1802,0.2852,0.2542,-0.15650000000000003,-0.0643,-0.28821362799263356,-0.1169090909090909,-0.6063541263076329,-0.21715636609253627,0.0042679002762882,0.01132056998033814,0.01488916407677054,-0.01613283958630007,0.10394876818498666,0.06515449816236574,climate,climate,climate,climate,0.007000000000000006,0.0651,-0.027100000000000013,-0.031000000000000028,0.09220000000000003,0.17130453708354265,0.38919776021509656,0.00705266970404994,-0.03102200366307061,-0.038794270022620925,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
13053,Latin America,Temperate_Dry_Winter,missing_predictor_group,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_estimable_at_either_radius,FALSE
26448,Europe,Cold_Without_dry_season_Cold_Summer,estimated,estimated,0.634,0.575,0.1198,0.067,0.1813,0.1645,0.3326,0.3431,-0.06149999999999998,-0.0975,-0.09700315457413249,-0.16956521739130437,-0.20425107937562267,-0.42116630669546434,0.06152643867203633,0.00245622811685419,0.05396674311394456,-0.00889802141862472,0.2528200888931892,0.24461661815777547,climate,climate,climate,climate,-0.05900000000000005,-0.0528,-0.01679999999999998,0.01050000000000001,-0.036000000000000025,-0.07256206281717188,-0.21691522731984167,-0.05907021055518214,-0.06286476453256928,-0.00820347073541372,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
4042,Europe,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.742,0.786,0.2085,0.2502,0.1875,0.2105,0.3463,0.3254,0.02099999999999999,0.03969999999999998,0.02830188679245281,0.05050890585241728,0.053030303030303,0.08617321467332317,0.00747987999181298,0.05137599841358731,0.13249212351244044,0.2246534432064028,0.1134081719593959,0.11768303140182156,human,human,human,human,0.04400000000000004,0.04169999999999999,0.022999999999999993,-0.020899999999999974,0.018699999999999987,0.022207019059964472,0.033142911643020176,0.04389611842177433,0.09216131969396235,0.0042748594424256575,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
3487,North America,Cold_Without_dry_season_Hot_Summer,estimated,estimated,0.297,0.361,-0.0386,0.0578,0.1602,0.148,0.175,0.1555,-0.1988,-0.0902,-0.6693602693602694,-0.24986149584487535,-1,-0.4382896015549077,-0.05070836703853476,0.014000227631768,-0.01075502234376013,0.05604044843409594,0.02208376408501189,0.07425186345858548,climate,climate,climate,climate,0.064,0.0964,-0.012200000000000016,-0.01949999999999999,0.1086,0.419498773515394,0.5617103984450923,0.06470859467030277,0.06679547077785607,0.052168099373573584,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
21675,Latin America,Tropical,missing_predictor_group,estimated,NA,0.66,NA,0.197,NA,0.1649,NA,0.2981,NA,0.03210000000000002,NA,0.04863636363636366,NA,0.08869853550704619,NA,-0.01938511011706278,NA,0.00563309553061985,NA,0.08426132826780375,NA,human,NA,human,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,gained_estimability,TRUE
26499,Europe,Polar,estimated,estimated,0.143,0.219,0.1401,0.2231,-0.0029,-0.0168,0.0059,0.0128,0.14300000000000002,0.2399,1.0000000000000002,1.0954337899543378,1,1,0.0878850690712153,0.16378956142474443,-0.08641662655427851,-0.11605150915871831,-0.02962649907278536,-0.0177088004139686,human,human,human,human,0.07600000000000001,0.08299999999999999,-0.0139,0.006900000000000001,0.09689999999999999,0.0954337899543376,0,0.07590449235352914,-0.029634882604439805,0.011917698658816762,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
24840,Europe,Temperate_Without_dry_season,estimated,estimated,0.484,0.455,0.2176,0.0516,0.0312,0.0158,0.2349,0.3877,0.1864,0.0358,0.38512396694214873,0.07868131868131868,0.7491961414790996,0.5311572700296735,0.08875047084244014,0.06018180681049701,-0.02932033519220811,0.02430602607605836,0.06937672594538247,0.4592804474549883,human,human,human,human,-0.02899999999999997,-0.16599999999999998,-0.015399999999999997,0.1528,-0.1506,-0.30644264826083006,-0.21803887144942613,-0.028568664031943136,0.05362636126826647,0.38990372150960584,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
2395,Latin America,Tropical,estimated,estimated,0.329,0.451,0.069,0.1865,0.0084,0.0268,0.2513,0.2377,0.06060000000000001,0.1597,0.18419452887537996,0.3541019955654102,0.7829457364341085,0.7487107360525083,-0.0921180685299221,0.03019171422649547,-0.10260681511596004,-0.03350305121129438,0.10963257915205672,0.11450437004418156,human,human,human,human,0.122,0.1175,0.0184,-0.013600000000000029,0.0991,0.16990746669003026,-0.03423500038160021,0.12230978275641757,0.06910376390466566,0.004871790892124833,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
45347,Europe,Polar,estimated,estimated,0.526,0.545,0.0355,0.0513,0.2856,0.2882,0.2049,0.2051,-0.25010000000000004,-0.2369,-0.4754752851711027,-0.4346788990825688,-0.7788850825288074,-0.6977908689248895,0.01440968523143104,0.03297206684336939,0.09655650625216904,0.12602914765551201,-0.00218131396228127,0.0225596968675058,climate,climate,climate,climate,0.019000000000000017,0.0158,0.002599999999999991,2.0000000000000573e-4,0.013200000000000045,0.04079638608853392,0.08109421360391789,0.01856238161193835,0.029472641403342978,0.02474101082978707,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
15922,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.568,0.591,0.1127,0.1253,0.3114,0.3277,0.1435,0.1375,-0.1987,-0.2024,-0.3498239436619719,-0.3424703891708968,-0.4685215751002122,-0.4467991169977925,-0.03699569238500222,-0.01402796165930464,0.18844356320897193,0.22063773974801815,0.01664105943800919,0.00419202754758707,climate,climate,climate,climate,0.02300000000000002,0.0126,0.01629999999999998,-0.005999999999999978,-0.003700000000000009,0.007353554491075109,0.021722458102419684,0.02296773072569758,0.032194176539046215,-0.01244903189042212,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
1010,North America,Cold_Without_dry_season_Cold_Summer,missing_predictor_group,estimated,NA,0.372,NA,0.0768,NA,0.0662,NA,0.2293,NA,0.01059999999999999,NA,0.02849462365591397,NA,0.07412587412587412,NA,-0.0677761748273521,NA,-0.12144135369279496,NA,0.02506948916304741,NA,human,NA,human,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,gained_estimability,TRUE
4542,Europe,Cold_Without_dry_season_Cold_Summer,estimated,estimated,0.624,0.664,0.0115,-0.0037,0.4831,0.5433,0.1293,0.1242,-0.4716,-0.547,-0.7557692307692307,-0.8237951807228916,-0.9534977759805904,-1,-0.02275481714412364,0.01714909628709471,0.4205421998028519,0.5518132668936953,0.11197279853952212,0.11264770327021324,climate,climate,climate,climate,0.040000000000000036,-0.0152,0.06020000000000003,-0.005099999999999993,-0.07540000000000002,-0.06802594995366085,-0.04650222401940962,0.03990391343121835,0.13127106709084335,6.749047306911227e-4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
14944,North America,Cold_Dry_Summer,estimated,estimated,0.615,0.652,0.4374,0.4565,0.1117,0.128,0.0656,0.0673,0.3257,0.3285,0.5295934959349593,0.5038343558282209,0.5931524312511381,0.5620188195038495,0.3427930504568255,0.3798761056866078,0.02140708472887709,0.0100756980625547,0.00897943097863374,-0.03157016351031316,human,human,human,human,0.03700000000000003,0.019100000000000006,0.01630000000000001,0.0016999999999999932,0.0028000000000000247,-0.02575914010673841,-0.03113361174728868,0.03708305522978228,-0.01133138666632239,-0.0405495944889469,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
17402,North America,Cold_Without_dry_season_Cold_Summer,estimated,estimated,0.311,0.105,0.0885,-0.0149,0.0819,0.0033,0.1409,0.1162,0.00659999999999999,-0.0182,0.02122186495176847,-0.17333333333333334,0.03873239436619715,-1,0.1318673325008206,-0.07483732363914897,0.04773252055568866,-0.10878944601006624,0.06389505155601838,0.01533672525661222,human,climate,human,climate,-0.20600000000000002,-0.10339999999999999,-0.0786,-0.0247,-0.024799999999999992,-0.19455519828510182,-1.0387323943661972,-0.20670465613996958,-0.1565219665657549,-0.04855832629940616,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,ranking_reversal,TRUE
234,North America,Cold_Dry_Summer,estimated,estimated,0.56,0.533,0.0474,0.0613,0.2982,0.2889,0.2148,0.183,-0.2508,-0.2276,-0.4478571428571429,-0.4270168855534709,-0.7256944444444444,-0.6499143346659052,0.0244376433177248,-0.00286527633787336,0.2280330626885294,0.20327126475962295,0.13393119859182157,0.06407054313556515,climate,climate,climate,climate,-0.027000000000000024,0.013900000000000003,-0.00930000000000003,-0.031799999999999995,0.023200000000000026,0.020840257303672005,0.07578010977853922,-0.02730291965559816,-0.024761797928906454,-0.06986065545625642,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
16081,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.274,0.342,-0.0342,0.0426,0.217,0.2029,0.0912,0.0969,-0.2512,-0.1603,-0.9167883211678832,-0.4687134502923976,-1,-0.6529531568228106,-0.08114488757216753,-0.01271977604144158,0.08205415505500313,0.0676341898269538,-0.02130934235581882,0.00366128294404499,climate,climate,climate,climate,0.068,0.07680000000000001,-0.014100000000000001,0.005699999999999997,0.09089999999999998,0.44807487087548564,0.34704684317718937,0.06842511153072596,-0.014419965228049336,0.02497062529986381,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
41421,Europe,Temperate_Without_dry_season,estimated,estimated,0.489,0.47,0.023,0.023,0.3704,0.3542,0.0954,0.0925,-0.3474,-0.3312,-0.7104294478527607,-0.7046808510638298,-0.8830706659888153,-0.8780487804878048,0.05059926938046655,0.0316848230647504,0.40520738929069255,0.3735093120235191,0.11654174768970926,0.11139702088469716,climate,climate,climate,climate,-0.019000000000000017,0,-0.016199999999999992,-0.0029,0.016199999999999992,0.005748596788930915,0.00502188550101057,-0.01891444631571615,-0.03169807726717344,-0.005144726805012101,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
1451,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.379,0.387,0.0662,0.125,0.1143,0.0818,0.1984,0.1804,-0.0481,0.0432,-0.12691292875989446,0.11162790697674418,-0.26648199445983384,0.2088974854932302,0.02805454363467718,0.03636195774434225,-0.04249061222211237,-0.09038540269788276,0.02091524309433523,0.00212590586946082,climate,human,climate,human,0.008000000000000007,0.058800000000000005,-0.0325,-0.017999999999999988,0.09129999999999999,0.23854083573663865,0.47537947995306407,0.008307414109665068,-0.04789479047577039,-0.01878933722487441,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,ranking_reversal,TRUE
785,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.619,0.637,0.1442,0.1446,0.2743,0.2883,0.2005,0.2036,-0.1301,-0.1437,-0.2101777059773829,-0.22558869701726844,-0.3108721624850657,-0.33194733194733195,-0.02482935343791958,-0.00731173072564483,0.03073617993674449,0.07488047360481198,-0.01193240769623038,0.01053395282463076,climate,climate,climate,climate,0.018000000000000016,4.0000000000001146e-4,0.014000000000000012,0.0030999999999999917,-0.013600000000000001,-0.015410991039885552,-0.02107516946226623,0.01751762271227475,0.04414429366806749,0.02246636052086114,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
2311,North America,Cold_Without_dry_season_Cold_Summer,estimated,estimated,0.737,0.715,0.0472,0.104,0.4588,0.3842,0.2305,0.227,-0.4116,-0.2802,-0.5584803256445047,-0.3918881118881119,-0.8134387351778656,-0.573945104465383,0.03254509205035139,0.01120570100994466,0.3107829556510455,0.1773883923039431,0.06718399571160072,0.07610588222863446,climate,climate,climate,climate,-0.02200000000000002,0.056799999999999996,-0.0746,-0.003500000000000003,0.13140000000000002,0.16659221375639277,0.23949363071248253,-0.021339391040406726,-0.13339456334710242,0.00892188651703374,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
3900,Europe,Temperate_Without_dry_season,estimated,estimated,0.314,0.278,-0.0423,-0.0387,0.0125,-0.0196,0.3434,0.336,-0.0548,-0.0191,-0.1745222929936306,-0.06870503597122302,-1,NA,-0.05224675508789944,-0.08820205839908402,-0.15748625274473105,-0.1626848414922003,0.1876138488391744,0.23166889830847923,climate,NA,climate,climate,-0.035999999999999976,0.003599999999999999,-0.032100000000000004,-0.007399999999999962,0.0357,0.10581725702240757,NA,-0.03595530331118458,-0.005198588747469257,0.04405504946930483,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
2053,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.398,0.393,-0.0264,0.0374,0.2765,0.2428,0.1482,0.1133,-0.3029,-0.20539999999999997,-0.7610552763819095,-0.5226463104325699,-1,-0.7330478229835831,-0.03720227298328227,-0.04203317069568579,0.18145139975384617,0.1494913327094155,0.06198791706587581,0.02751320737715212,climate,climate,climate,climate,-0.0050000000000000044,0.0638,-0.033700000000000035,-0.0349,0.09750000000000003,0.23840896594933958,0.26695217701641694,-0.004830897712403519,-0.03196006704443066,-0.03447470968872369,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
1149,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.576,0.484,0.1445,0.1285,0.2499,0.1994,0.1817,0.1566,-0.10540000000000002,-0.07089999999999999,-0.18298611111111115,-0.1464876033057851,-0.2672413793103449,-0.21622445867642573,0.04555196071421763,-0.04614837774504687,0.17356869034892164,0.07504412163168905,0.04617886203429533,-0.00168356819501291,climate,climate,climate,climate,-0.09199999999999997,-0.015999999999999986,-0.05050000000000002,-0.02510000000000001,0.03450000000000003,0.03649850780532604,0.05101692063391919,-0.09170033845926451,-0.09852456871723259,-0.047862430229308243,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
46998,Latin America,Temperate_Without_dry_season,estimated,estimated,0.029,0.171,-0.0124,0.0645,0.0488,0.0841,-0.0079,0.0223,-0.0612,-0.01959999999999999,-2.110344827586207,-0.11461988304093562,-1,-0.1318977119784656,-0.04353116389653744,0.0988658053684226,0.02682702961802341,0.12770578254887688,-0.04951523631865806,0.04116529882284214,climate,climate,climate,climate,0.14200000000000002,0.0769,0.03529999999999999,0.0302,0.04160000000000001,1.9957249445452714,0.8681022880215344,0.14239696926496004,0.10087875293085347,0.09068053514150021,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
46490,Europe,Cold_Without_dry_season_Warm_Summer,missing_predictor_group,estimated,NA,0.358,NA,0.0388,NA,0.3055,NA,0.0141,NA,-0.2667,NA,-0.7449720670391061,NA,-0.7746151611966309,NA,0.03004154015862947,NA,0.25689920548769996,NA,-0.0583051786685258,NA,climate,NA,climate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,gained_estimability,TRUE
210,North America,Arid,estimated,estimated,0.593,0.618,0.1152,0.0786,0.2603,0.2871,0.2178,0.252,-0.14509999999999998,-0.2085,-0.24468802698145023,-0.33737864077669905,-0.38641810918774966,-0.5701394585726005,0.04562952032756773,0.07007806026561203,0.09008366983993944,0.10118901119665692,0.04968255705523972,0.0758571427779684,climate,climate,climate,climate,0.025000000000000022,-0.036599999999999994,0.026800000000000046,0.03420000000000001,-0.06340000000000001,-0.09269061379524882,-0.18372134938485085,0.0244485399380443,0.01110534135671748,0.026174585722728683,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
