analysis,dataset_id,region,climatezone,model_id,predictor,unique,average_share,individual,individual_percent,predictor_present,total_adjusted_r_squared,model_result_available,has_required_predictors,has_finite_total,has_positive_total,has_finite_individual,has_negative_unique,has_negative_individual,is_importance_eligible,exclusion_reason,age
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=4500,climate,0.0592,0.011200000000000002,0.0704,83.81,TRUE,0.084,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=4500,human,0.0028,0.0112,0.014,16.67,TRUE,0.084,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=5000,climate,0.0521,0.014400000000000003,0.0665,76.44,TRUE,0.087,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=5000,human,0.0056,0.0144,0.02,22.99,TRUE,0.087,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=5500,climate,0.0791,0.00739999999999999,0.0865,93.01,TRUE,0.093,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,5500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=5500,human,-9e-4,0.0073999999999999995,0.0065,6.99,TRUE,0.093,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,5500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=6000,climate,0.065,0.014399999999999996,0.0794,74.91,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=6000,human,0.0122,0.014399999999999998,0.0266,25.09,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=6500,climate,0.0941,0.007400000000000004,0.1015,95.75,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,6500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=6500,human,-0.0025,0.0074,0.0049,4.62,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,6500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=7000,climate,0.0958,0.014700000000000005,0.1105,83.08,TRUE,0.133,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=7000,human,0.0076,0.014700000000000001,0.0223,16.77,TRUE,0.133,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=7500,climate,0.1005,0.014299999999999993,0.1148,86.32,TRUE,0.133,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=7500,human,0.0036,0.0144,0.018,13.53,TRUE,0.133,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=8000,climate,0.1406,0.009599999999999997,0.1502,93.88,TRUE,0.16,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=8000,human,2e-4,0.0095,0.0097,6.06,TRUE,0.16,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=8500,climate,0.1558,0.005500000000000005,0.1613,96.59,TRUE,0.167,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=8500,human,-0,0.0055,0.0055,3.29,TRUE,0.167,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=2000,climate,0.0936,-0.0012000000000000066,0.0924,96.25,TRUE,0.096,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=2000,human,0.0047,-0.0012000000000000001,0.0035,3.65,TRUE,0.096,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=2500,climate,0.0817,-0.002599999999999991,0.0791,95.3,TRUE,0.083,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=2500,human,0.0067,-0.0026,0.0041,4.94,TRUE,0.083,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=3000,climate,0.0532,0.0050000000000000044,0.0582,90.94,TRUE,0.064,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=3000,human,7e-4,0.005,0.0057,8.91,TRUE,0.064,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=3500,climate,0.0448,0.0063,0.0511,71.97,TRUE,0.071,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=3500,human,0.0136,0.006400000000000001,0.02,28.17,TRUE,0.071,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=4000,climate,0.0724,0.0063,0.0787,93.69,TRUE,0.084,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,4000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=4000,human,-7e-4,0.0064,0.0057,6.79,TRUE,0.084,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,4000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=4500,climate,0.0776,0.0034000000000000002,0.081,96.43,TRUE,0.084,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,4500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=4500,human,-6e-4,0.0034,0.0028,3.33,TRUE,0.084,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,4500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=5000,climate,0.0604,0.0040999999999999995,0.0645,93.48,TRUE,0.069,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=5000,human,4e-4,0.0040999999999999995,0.0045,6.52,TRUE,0.069,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=5500,climate,0.0878,-0.0010000000000000009,0.0868,99.77,TRUE,0.087,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=5500,human,0.0016,-0.001,6e-4,0.69,TRUE,0.087,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=6000,climate,0.0666,0.00399999999999999,0.0706,86.1,TRUE,0.082,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=6000,human,0.0076,0.0041,0.0117,14.27,TRUE,0.082,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=6500,climate,0.044,0.012700000000000003,0.0567,65.93,TRUE,0.086,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=6500,human,0.0167,0.0127,0.0294,34.19,TRUE,0.086,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=7000,climate,0.0589,0.009799999999999996,0.0687,79.88,TRUE,0.086,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=7000,human,0.0077,0.009800000000000001,0.0175,20.35,TRUE,0.086,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=7500,climate,0.0524,0.011700000000000002,0.0641,53.87,TRUE,0.119,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=7500,human,0.0431,0.0116,0.0547,45.97,TRUE,0.119,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=8000,climate,0.0794,-0.0010000000000000009,0.0784,83.4,TRUE,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=8000,human,0.0165,-0.0011000000000000003,0.0154,16.38,TRUE,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=8500,climate,0.0626,0.0059999999999999915,0.0686,87.95,TRUE,0.078,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,Europe,NA,analysis=temporal_spd|region=Europe|age=8500,human,0.0029,0.006,0.0089,11.41,TRUE,0.078,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=2000,climate,0.1454,0.004200000000000009,0.1496,97.78,TRUE,0.153,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,2000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=2000,human,-0.0011,0.0041,0.003,1.96,TRUE,0.153,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,2000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=2500,climate,0.1381,0.007200000000000012,0.1453,95.59,TRUE,0.152,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,2500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=2500,human,-5e-4,0.007299999999999999,0.0068,4.47,TRUE,0.152,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,2500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=3000,climate,0.1903,-0.006599999999999995,0.1837,95.18,TRUE,0.193,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=3000,human,0.0156,-0.0066,0.009,4.66,TRUE,0.193,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=3500,climate,0.2043,-0.0116,0.1927,93.09,TRUE,0.207,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=3500,human,0.0261,-0.011500000000000002,0.0146,7.05,TRUE,0.207,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=4000,climate,0.2032,-0.011899999999999994,0.1913,87.75,TRUE,0.218,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=4000,human,0.0389,-0.011899999999999997,0.027,12.39,TRUE,0.218,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=4500,climate,0.187,-0.005399999999999988,0.1816,92.18,TRUE,0.197,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=4500,human,0.0212,-0.005500000000000001,0.0157,7.97,TRUE,0.197,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=5000,climate,0.1957,-0.013600000000000001,0.1821,87.97,TRUE,0.207,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=5000,human,0.0388,-0.013600000000000001,0.0252,12.17,TRUE,0.207,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=5500,climate,0.1725,-0.0040999999999999925,0.1684,94.61,TRUE,0.178,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=5500,human,0.0135,-0.0040999999999999995,0.0094,5.28,TRUE,0.178,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=6000,climate,0.162,-0.0063,0.1557,94.36,TRUE,0.165,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=6000,human,0.016,-0.006400000000000001,0.0096,5.82,TRUE,0.165,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=6500,climate,0.1629,1.0000000000001674e-4,0.163,102.52,TRUE,0.159,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,6500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=6500,human,-0.0045,9.99999999999994e-5,-0.0044,-2.77,TRUE,0.159,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,6500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=7000,climate,0.1181,0.0039000000000000007,0.122,95.31,TRUE,0.128,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=7000,human,0.0025,0.0039000000000000003,0.0064,5,TRUE,0.128,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=7500,climate,0.1567,-0.007200000000000012,0.1495,95.83,TRUE,0.156,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=7500,human,0.0136,-0.0070999999999999995,0.0065,4.17,TRUE,0.156,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=8000,climate,0.1246,-0.004799999999999999,0.1198,69.65,TRUE,0.172,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=8000,human,0.0572,-0.004799999999999999,0.0524,30.47,TRUE,0.172,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=8500,climate,0.1343,-0.0068999999999999895,0.1274,92.99,TRUE,0.137,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,Latin America,NA,analysis=temporal_spd|region=Latin America|age=8500,human,0.0166,-0.0069,0.0097,7.08,TRUE,0.137,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=2000,climate,0.0949,0.0030000000000000027,0.0979,95.05,TRUE,0.103,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=2000,human,0.0024,0.0030000000000000005,0.0054,5.24,TRUE,0.103,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=2500,climate,0.1,3.999999999999976e-4,0.1004,92.11,TRUE,0.109,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=2500,human,0.0078,4.0000000000000105e-4,0.0082,7.52,TRUE,0.109,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=3000,climate,0.1022,0.0011000000000000038,0.1033,90.61,TRUE,0.114,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=3000,human,0.01,9.999999999999992e-4,0.011,9.65,TRUE,0.114,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=3500,climate,0.0988,0.0013999999999999985,0.1002,96.35,TRUE,0.104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=3500,human,0.0024,0.0014000000000000002,0.0038,3.65,TRUE,0.104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=4000,climate,0.0846,0.0033000000000000113,0.0879,89.69,TRUE,0.098,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=4000,human,0.007,0.0033,0.0103,10.51,TRUE,0.098,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=4500,climate,0.0968,0.0013999999999999985,0.0982,91.78,TRUE,0.107,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=4500,human,0.0079,0.001299999999999999,0.0092,8.6,TRUE,0.107,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=5000,climate,0.1008,2.999999999999947e-4,0.1011,93.61,TRUE,0.108,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=5000,human,0.0064,2.999999999999999e-4,0.0067,6.2,TRUE,0.108,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=5500,climate,0.0867,2.999999999999947e-4,0.087,88.78,TRUE,0.098,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=5500,human,0.0111,2.999999999999999e-4,0.0114,11.63,TRUE,0.098,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,5500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=6000,climate,0.0922,8.99999999999998e-4,0.0931,87.83,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=6000,human,0.0117,8.000000000000004e-4,0.0125,11.79,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=6500,climate,0.0945,-1.0000000000000286e-4,0.0944,90.77,TRUE,0.104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=6500,human,0.0093,-9.99999999999994e-5,0.0092,8.85,TRUE,0.104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,6500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=7000,climate,0.0925,0.0012999999999999956,0.0938,88.49,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=7000,human,0.0107,0.0014000000000000002,0.0121,11.42,TRUE,0.106,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=7500,climate,0.0907,0.0016999999999999932,0.0924,88.85,TRUE,0.104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=7500,human,0.0101,0.0018000000000000013,0.0119,11.44,TRUE,0.104,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,7500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=8000,climate,0.1195,-0.0011999999999999927,0.1183,94.64,TRUE,0.125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=8000,human,0.0078,-0.0011999999999999997,0.0066,5.28,TRUE,0.125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8000
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=8500,climate,0.1145,5.999999999999894e-4,0.1151,95.92,TRUE,0.12,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,North America,NA,analysis=temporal_spd|region=North America|age=8500,human,0.0042,5.999999999999998e-4,0.0048,4,TRUE,0.12,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,8500
temporal_spd,NA,Oceania,NA,analysis=temporal_spd|region=Oceania|age=2000,climate,-0.006,0.0143,0.0083,25.94,TRUE,0.032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,2000
temporal_spd,NA,Oceania,NA,analysis=temporal_spd|region=Oceania|age=2000,human,0.0088,0.014399999999999998,0.0232,72.5,TRUE,0.032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,2000
temporal_spd,NA,Oceania,NA,analysis=temporal_spd|region=Oceania|age=2500,climate,0.0608,0.0186,0.0794,77.84,TRUE,0.102,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2500
