region,climatezone_label,predictor,climatezone,importance_type,ratio
Asia,POL,Humans,Polar,ratio_ind_wmean,0.23859215999996192
Asia,CCS,Climate,Cold - Cold Summer,ratio_ind_wmean,0.9360690371045646
Asia,CCS,Humans,Cold - Cold Summer,ratio_ind_wmean,0.06393096289543562
Asia,CWS,Climate,Cold - Warm Summer,ratio_ind_wmean,0.8616469953045124
Asia,CWS,Humans,Cold - Warm Summer,ratio_ind_wmean,0.13835300469548759
Asia,CHS,Climate,Cold - Hot Summer,ratio_ind_wmean,0.6226671191041738
Asia,CHS,Humans,Cold - Hot Summer,ratio_ind_wmean,0.3773328808958263
Asia,CDW,Climate,Cold - Dry Winter,ratio_ind_wmean,0.8598550138726466
Asia,CDW,Humans,Cold - Dry Winter,ratio_ind_wmean,0.14014498612735338
Asia,CDS,Climate,Cold - Dry Summer,ratio_ind_wmean,0.9882326746169753
Asia,CDS,Humans,Cold - Dry Summer,ratio_ind_wmean,0.011767325383024763
Asia,TMP,Climate,Temperate,ratio_ind_wmean,0.8663823000489913
Asia,TMP,Humans,Temperate,ratio_ind_wmean,0.13361769995100856
Asia,TDW,Climate,Temperate - Dry Winter,ratio_ind_wmean,0.49153242461792646
Asia,TDW,Humans,Temperate - Dry Winter,ratio_ind_wmean,0.5084675753820735
Asia,TDS,Climate,Temperate - Dry Summer,ratio_ind_wmean,0.940444226901687
Asia,TDS,Humans,Temperate - Dry Summer,ratio_ind_wmean,0.05955577309831299
Asia,TRO,Climate,NA,NA,0
Asia,TRO,Humans,NA,NA,0
Asia,ARD,Climate,Arid,ratio_ind_wmean,0.8034002227668267
Asia,ARD,Humans,Arid,ratio_ind_wmean,0.19659977723317332
Oceania,POL,Climate,NA,NA,0
Oceania,POL,Humans,NA,NA,0
Oceania,CCS,Climate,Cold - Cold Summer,ratio_ind_wmean,0.972568578553616
Oceania,CCS,Humans,Cold - Cold Summer,ratio_ind_wmean,0.027431421446384045
Oceania,CWS,Climate,Cold - Warm Summer,ratio_ind_wmean,0.46515076618882845
Oceania,CWS,Humans,Cold - Warm Summer,ratio_ind_wmean,0.5348492338111716
Oceania,CHS,Climate,NA,NA,0
Oceania,CHS,Humans,NA,NA,0
Oceania,CDW,Climate,NA,NA,0
Oceania,CDW,Humans,NA,NA,0
Oceania,CDS,Climate,NA,NA,0
Oceania,CDS,Humans,NA,NA,0
Oceania,TMP,Climate,Temperate,ratio_ind_wmean,0.675595546212104
Oceania,TMP,Humans,Temperate,ratio_ind_wmean,0.32440445378789606
Oceania,TDW,Climate,Temperate - Dry Winter,ratio_ind_wmean,0.6449717514124294
Oceania,TDW,Humans,Temperate - Dry Winter,ratio_ind_wmean,0.3550282485875706
Oceania,TDS,Climate,Temperate - Dry Summer,ratio_ind_wmean,0.7594627594627594
Oceania,TDS,Humans,Temperate - Dry Summer,ratio_ind_wmean,0.24053724053724052
Oceania,TRO,Climate,Tropical,ratio_ind_wmean,0.6743668409219119
Oceania,TRO,Humans,Tropical,ratio_ind_wmean,0.32563315907808793
Oceania,ARD,Climate,Arid,ratio_ind_wmean,0.6896640826873386
Oceania,ARD,Humans,Arid,ratio_ind_wmean,0.31033591731266147
