summary_level,region,age,all_values_reconciled,checked_columns
region_and_age,Asia,4000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,4500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,5000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,5500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,6000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,6500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,7000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,7500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,8000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,8500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,2000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,2500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,3000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,3500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,4000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,4500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,5000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,5500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,6000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,6500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,7000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,7500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,8000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Europe,8500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,2000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,2500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,3000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,3500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,4000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,4500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,5000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,5500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,6000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,6500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,7000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,7500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,8000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Latin America,8500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,2000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,2500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,3000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,3500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,4000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,4500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,5000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,5500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,6000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,6500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,7000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,7500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,8000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,North America,8500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,2000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,2500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,3000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,3500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,4000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,4500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,5000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,5500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,6000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,6500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,7000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,7500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,8000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Oceania,8500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
